epoch,sensor,link,log type,data,SST
1739687025.08,1,DATA,SOFT2,2054,2803
1739687025.19,3,DATA,SOFT2,2121,2730
1739687025.28,2,DATA,SOFT2,2149,2835
1739687025.58,1,DATA,SOFT2,2554,2803
1739687025.69,3,DATA,SOFT2,2621,2730
1739687025.78,2,DATA,SOFT2,2649,2835
1739687083.56,1,DATA,SOFT2,554,2801
1739687083.59,2,DATA,SOFT2,541,2833
1739687083.68,3,DATA,SOFT2,641,2730
1739687084.05,1,DATA,SOFT2,1054,2801
1739687084.09,2,DATA,SOFT2,1041,2833
1739687084.18,3,DATA,SOFT2,1141,2730
1739687084.55,1,DATA,SOFT2,1554,2802
1739687084.59,2,DATA,SOFT2,1541,2833
1739687084.68,3,DATA,SOFT2,1641,2730
1739687085.05,1,DATA,SOFT2,2054,2801
1739687085.09,2,DATA,SOFT2,2041,2833
1739687085.18,3,DATA,SOFT2,2141,2730
1739687085.55,1,DATA,SOFT2,2554,2801
1739687085.59,2,DATA,SOFT2,2541,2833
1739687085.68,3,DATA,SOFT2,2641,2730
1739687143.61,2,DATA,SOFT2,551,2831
1739687143.66,1,DATA,SOFT2,636,2799
1739687143.69,3,DATA,SOFT2,621,2732
1739687144.11,2,DATA,SOFT2,1051,2832
1739687144.16,1,DATA,SOFT2,1136,2799
1739687144.19,3,DATA,SOFT2,1121,2733
1739687144.61,2,DATA,SOFT2,1551,2831
1739687144.66,1,DATA,SOFT2,1636,2799
1739687144.69,3,DATA,SOFT2,1621,2732
1739687145.11,2,DATA,SOFT2,2051,2832
1739687145.16,1,DATA,SOFT2,2136,2799
1739687145.19,3,DATA,SOFT2,2121,2732
1739687145.61,2,DATA,SOFT2,2551,2832
1739687145.66,1,DATA,SOFT2,2636,2799
1739687145.69,3,DATA,SOFT2,2621,2732
1739687203.59,3,DATA,SOFT2,536,2734
1739687203.62,2,DATA,SOFT2,571,2831
1739687203.65,1,DATA,SOFT2,631,2798
1739687204.09,3,DATA,SOFT2,1036,2734
1739687204.12,2,DATA,SOFT2,1071,2831
1739687204.15,1,DATA,SOFT2,1131,2797
1739687204.59,3,DATA,SOFT2,1536,2734
1739687204.62,2,DATA,SOFT2,1571,2831
1739687204.65,1,DATA,SOFT2,1631,2797
1739687205.09,3,DATA,SOFT2,2036,2734
1739687205.12,2,DATA,SOFT2,2071,2831
1739687205.15,1,DATA,SOFT2,2131,2798
1739687205.59,3,DATA,SOFT2,2536,2734
1739687205.62,2,DATA,SOFT2,2571,2831
1739687205.65,1,DATA,SOFT2,2631,2797
1739687263.60,1,DATA,SOFT2,581,2797
1739687263.69,3,DATA,SOFT2,636,2735
1739687263.78,2,DATA,SOFT2,648,2831
1739687264.10,1,DATA,SOFT2,1081,2797
1739687264.19,3,DATA,SOFT2,1136,2735
1739687264.28,2,DATA,SOFT2,1148,2831
1739687264.60,1,DATA,SOFT2,1581,2797
1739687264.69,3,DATA,SOFT2,1636,2735
1739687264.78,2,DATA,SOFT2,1648,2831
1739687265.10,1,DATA,SOFT2,2081,2797
1739687265.19,3,DATA,SOFT2,2136,2735
1739687265.28,2,DATA,SOFT2,2148,2831
1739687265.60,1,DATA,SOFT2,2581,2797
1739687265.69,3,DATA,SOFT2,2636,2735
1739687265.78,2,DATA,SOFT2,2648,2831
1739687323.57,1,DATA,SOFT2,555,2797
1739687323.61,3,DATA,SOFT2,535,2737
1739687323.67,2,DATA,SOFT2,625,2830
