millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
284598,1739685549.60,-45.84,-34.65,-21.57,
284998,1739685550.00,-38.92,-30.68,-23.62,
285398,1739685550.40,-33.50,-43.30,-21.30,
285799,1739685550.80,-29.35,-36.73,-15.49,
286197,1739685551.20,-26.29,-47.03,-13.25,
286597,1739685551.60,-8.94,-38.40,-7.64,
286997,1739685552.00,-10.90,-46.90,-10.17,
287398,1739685552.40,2.10,-52.78,-5.75,
287795,1739685552.80,-3.59,-56.37,-9.25,
288200,1739685553.20,-8.96,-57.95,-10.97,
288596,1739685553.60,1.25,-57.79,-4.06,
288998,1739685554.00,-6.68,-56.15,1.58,
289399,1739685554.40,1.40,-53.25,5.20,
289798,1739685554.80,6.94,-33.22,11.57,
290196,1739685555.20,-4.88,-31.98,7.49,
290597,1739685555.60,0.00,-29.68,1.37,
290997,1739685556.00,2.97,-10.43,-4.49,
291397,1739685556.40,-10.86,-26.20,-7.32,
